,state,city,latitude,longitude,azavea_id,population,2005,2006,2007,2008,2009,2010,tasmax_2009_min,tasmax_2009_max,tasmax_2009_median,tasmax_2010_min,tasmax_2010_max,tasmax_2010_median,xhe_2009_min,xhe_2009_max,xhe_2009_median,xhe_2010_min,xhe_2010_max,xhe_2010_median,hwi_2009_min,hwi_2009_max,hwi_2009_median,hwi_2010_min,hwi_2010_max,hwi_2010_median
0,Arizona,Phoenix,33.448,-112.09700000000001,9,1445632,324.0,336.0,312.0,297.0,378.0,453.0,83.8418023598031,88.43281024253527,86.87968206536279,83.79670273036176,88.44362349836786,86.81375581924225,0,28,7,0,55,7,0,5,1,0,3,1
1,California,Sacramento,38.577,-121.494,41,466488,495.0,1100.0,571.0,571.0,516.0,503.0,75.43865736033811,79.19322069978054,76.70999901340433,74.97126148798692,77.81993600505668,76.85288704650041,0,19,5,0,16,9,0,4,1,0,5,2
2,Colorado,Denver,39.739000000000004,-104.985,30,682545,49.0,29.0,28.0,22.0,14.0,37.0,62.63306899815392,66.74812717385483,64.65164304968427,61.04497510100059,66.58115816299228,64.74880463064535,0,35,6,0,35,7,0,3,1,0,5,1
3,Connecticut,Hartford,41.763999999999996,-72.682,1653,124006,46.0,54.0,41.0,46.0,23.0,86.0,61.00570529885484,64.49495137253854,62.704504963077845,60.277725010701985,65.65366450061536,63.13736493672413,0,15,8,0,24,8,0,3,1,0,4,1
4,Florida,Tallahassee,30.438000000000002,-84.281,138,189907,623.0,500.0,580.0,445.0,607.0,856.0,78.19701297289703,82.20516288861835,80.75676873194028,78.03760315777507,84.54008253959753,81.20811418089149,0,11,1,0,28,4,0,3,0,0,7,1
5,Iowa,Des Moines,41.591,-93.604,116,210330,59.0,71.0,60.0,31.0,31.0,56.0,59.04158114498602,64.513409457272,62.12178725987258,59.52262941125318,64.81555590485875,62.14550779577797,0,23,5,0,26,4,0,7,2,0,7,2
6,Kentucky,Frankfort,38.187,-84.875,1356,27830,124.0,128.0,173.0,98.0,109.0,231.0,65.868431112211,70.64619062031788,68.45828880832616,64.92111946837545,72.97898012762198,68.70296155955688,0,21,3,0,28,4,1,5,2,0,7,2
7,Louisiana,Baton Rouge,30.456999999999997,-91.18700000000001,95,228590,264.0,168.0,162.0,134.0,187.0,216.0,77.93090514300614,81.46834552921659,79.5542717753371,76.33019999464891,83.8770595937232,80.35459357274722,0,21,2,0,19,5,0,3,0,0,4,0
8,Maine,Augusta,44.306999999999995,-69.782,1232,18471,21.0,14.0,12.0,7.0,4.0,18.0,53.96724751511666,58.678778878825945,55.879784688035095,53.61088970863654,59.133780216582835,56.21443636959542,0,21,6,1,24,8,0,3,1,0,4,1
9,Maryland,Annapolis,38.979,-76.491,1721,39474,198.0,199.0,130.0,189.0,85.0,213.0,66.67982818185466,70.22619428242722,68.41177871495076,65.75557834572989,72.31529423961904,68.75407462342146,0,20,6,0,27,7,0,4,1,0,5,2
